Category,Item,Station,Value,ValueType
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,537,90.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,556,90.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,578,84.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,585,80.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,607,83.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,676,91.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,695,85.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,589,82.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,589A4,79.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,589A5,87.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,589A7,87.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,657,83.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,657A4,94.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,657A5,80.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,502,82.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,520,93.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,564,88.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,580,89.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,586,82.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,598,83.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,623,88.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,629,91.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,635,84.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,667,79.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,549,86.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,671,80.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,674,87.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,740,89.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,501,79.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,504,87.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,519,84.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,644,89.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,649,84.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,678,85.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,756,92.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,436,71.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,442,90.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,554,82.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,575,91.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,660,82.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,666,84.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,463,87.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,531,77.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,648,75.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,653,83.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,663,83.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,668,76.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,687,85.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,692,86.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,358,89.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,459,92.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,570,86.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,612A4,84.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,640,87.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,654,83.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,662,83.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,593,88.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,600,90.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,605,81.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,664,88.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,691,89.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,437,80.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,438,77.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,568,86.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,618,86.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,636,80.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,636A6,84.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,636A8,85.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Confirmed Mental Illness Seen in In-person Outpatient Mental Health,656,91.60%,Percent
Mental Health Workload,Number of Service Users Who Received MH Services ,402,"9,053",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,405,"4,853",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,518,"6,146",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,523,"13,427",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,608,"4,957",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,631,"7,671",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,650,"9,575",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,689,"14,171",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,528,"9,524",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,528A5,"4,848",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,528A6,"3,243",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,528A7,"8,903",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,528A8,"6,559",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,526,"7,817",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,561,"14,814",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,620,"6,013",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,630,"15,226",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,632,"7,276",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,460,"7,382",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,503,"4,091",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,529,"3,218",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,540,"5,850",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,542,"5,762",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,562,"4,823",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,595,"8,906",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,642,"17,552",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,646,"12,523",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,693,"7,907",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,512,"15,129",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,613,"10,070",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,688,"16,681",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,517,"4,640",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,558,"17,909",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,565,"17,097",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,590,"16,022",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,637,"8,935",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,652,"13,250",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,658,"11,174",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,659,"21,218",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,508,"27,494",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,509,"11,678",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,521,"19,615",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,534,"19,874",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,544,"21,139",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,557,"10,051",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,619,"13,939",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,679,"5,711",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,516,"22,359",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,546,"19,673",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,548,"13,749",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,573,"31,997",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,672,"20,647",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,673,"22,648",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,675,"27,016",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,581,"6,902",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,596A4,"9,256",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,603,"11,294",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,614,"12,671",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,621,"16,032",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,626,"27,311",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,538,"7,540",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,539,"11,092",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,541,"27,711",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,552,"9,345",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,757,"10,835",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,506,"11,265",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,515,"11,435",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,550,"7,972",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,553,"10,783",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,583,"11,975",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,610,"8,522",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,655,"8,481",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,537,"14,498",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,556,"6,121",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,578,"14,165",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,585,"3,176",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,607,"7,642",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,676,"5,388",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,695,"14,712",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,589,"10,771",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,589A4,"7,292",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,589A5,"10,361",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,589A7,"5,934",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,657,"14,122",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,657A4,"5,602",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,657A5,"8,733",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,502,"7,875",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,520,"20,277",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,564,"11,462",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,580,"33,307",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,586,"11,161",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,598,"15,156",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,623,"10,255",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,629,"13,921",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,635,"13,610",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,667,"8,950",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,549,"32,665",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,671,"23,599",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,674,"26,946",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,740,"9,515",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,501,"13,624",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,504,"5,768",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,519,"3,690",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,644,"23,165",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,649,"5,917",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,678,"13,088",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,756,"9,039",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,436,"6,250",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,442,"5,560",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,554,"24,882",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,575,"3,686",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,660,"11,532",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,666,"2,783",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,463,"4,071",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,531,"6,329",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,648,"18,606",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,653,"6,528",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,663,"23,044",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,668,"6,166",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,687,"4,013",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,692,"4,879",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,358,"1,828",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,459,"9,099",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,570,"7,146",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,612A4,"21,726",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,640,"18,770",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,654,"7,577",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,662,"10,611",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,593,"15,872",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,600,"16,366",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,605,"17,738",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,664,"22,849",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,691,"31,395",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,437,"5,946",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,438,"4,524",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,568,"3,869",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,618,"18,330",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,636,"9,561",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,636A6,"6,681",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,636A8,"9,515",Number
Mental Health Workload,Number of Service Users Who Received MH Services ,656,"8,876",Number
Mental Health Workload,Service Users Who Received MH Services ,402,23%,Percent
Mental Health Workload,Service Users Who Received MH Services ,405,20%,Percent
Mental Health Workload,Service Users Who Received MH Services ,518,34%,Percent
Mental Health Workload,Service Users Who Received MH Services ,523,23%,Percent
Mental Health Workload,Service Users Who Received MH Services ,608,21%,Percent
Mental Health Workload,Service Users Who Received MH Services ,631,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,650,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,689,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,528,20%,Percent
Mental Health Workload,Service Users Who Received MH Services ,528A5,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,528A6,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,528A7,17%,Percent
Mental Health Workload,Service Users Who Received MH Services ,528A8,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,526,33%,Percent
Mental Health Workload,Service Users Who Received MH Services ,561,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,620,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,630,35%,Percent
Mental Health Workload,Service Users Who Received MH Services ,632,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,460,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,503,17%,Percent
Mental Health Workload,Service Users Who Received MH Services ,529,17%,Percent
Mental Health Workload,Service Users Who Received MH Services ,540,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,542,32%,Percent
Mental Health Workload,Service Users Who Received MH Services ,562,23%,Percent
Mental Health Workload,Service Users Who Received MH Services ,595,21%,Percent
Mental Health Workload,Service Users Who Received MH Services ,642,32%,Percent
Mental Health Workload,Service Users Who Received MH Services ,646,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,693,21%,Percent
Mental Health Workload,Service Users Who Received MH Services ,512,29%,Percent
Mental Health Workload,Service Users Who Received MH Services ,613,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,688,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,517,34%,Percent
Mental Health Workload,Service Users Who Received MH Services ,558,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,565,29%,Percent
Mental Health Workload,Service Users Who Received MH Services ,590,35%,Percent
Mental Health Workload,Service Users Who Received MH Services ,637,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,652,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,658,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,659,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,508,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,509,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,521,32%,Percent
Mental Health Workload,Service Users Who Received MH Services ,534,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,544,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,557,29%,Percent
Mental Health Workload,Service Users Who Received MH Services ,619,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,679,38%,Percent
Mental Health Workload,Service Users Who Received MH Services ,516,22%,Percent
Mental Health Workload,Service Users Who Received MH Services ,546,36%,Percent
Mental Health Workload,Service Users Who Received MH Services ,548,23%,Percent
Mental Health Workload,Service Users Who Received MH Services ,573,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,672,35%,Percent
Mental Health Workload,Service Users Who Received MH Services ,673,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,675,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,581,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,596A4,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,603,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,614,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,621,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,626,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,538,36%,Percent
Mental Health Workload,Service Users Who Received MH Services ,539,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,541,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,552,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,757,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,506,18%,Percent
Mental Health Workload,Service Users Who Received MH Services ,515,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,550,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,553,22%,Percent
Mental Health Workload,Service Users Who Received MH Services ,583,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,610,20%,Percent
Mental Health Workload,Service Users Who Received MH Services ,655,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,537,33%,Percent
Mental Health Workload,Service Users Who Received MH Services ,556,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,578,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,585,16%,Percent
Mental Health Workload,Service Users Who Received MH Services ,607,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,676,22%,Percent
Mental Health Workload,Service Users Who Received MH Services ,695,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,589,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,589A4,20%,Percent
Mental Health Workload,Service Users Who Received MH Services ,589A5,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,589A7,23%,Percent
Mental Health Workload,Service Users Who Received MH Services ,657,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,657A4,28%,Percent
Mental Health Workload,Service Users Who Received MH Services ,657A5,21%,Percent
Mental Health Workload,Service Users Who Received MH Services ,502,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,520,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,564,22%,Percent
Mental Health Workload,Service Users Who Received MH Services ,580,33%,Percent
Mental Health Workload,Service Users Who Received MH Services ,586,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,598,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,623,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,629,36%,Percent
Mental Health Workload,Service Users Who Received MH Services ,635,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,667,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,549,29%,Percent
Mental Health Workload,Service Users Who Received MH Services ,671,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,674,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,740,32%,Percent
Mental Health Workload,Service Users Who Received MH Services ,501,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,504,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,519,23%,Percent
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,619,871,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,516,"8,107",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,546,"4,781",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,548,"5,506",Number
